alpha-1-B glycoprotein	A1BG
angiogenic factor with G-patch and FHA domains 1 pseudogene 3	AGGF1P3
angiogenic factor with G-patch and FHA domains 1 pseudogene 4	AGGF1P4
angiogenic factor with G-patch and FHA domains 1 pseudogene 5	AGGF1P5
angiogenic factor with G-patch and FHA domains 1 pseudogene 6	AGGF1P6
angiogenic factor with G-patch and FHA domains 1 pseudogene 7	AGGF1P7
angiogenic factor with G-patch and FHA domains 1 pseudogene 8	AGGF1P8
angiogenic factor with G-patch and FHA domains 1 pseudogene 9	AGGF1P9
angiogenic factor with G-patch and FHA domains 1 pseudogene 10	AGGF1P10
acylglycerol kinase	AGK
acylglycerol kinase pseudogene 1	AGKP1
amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	AGL
agmatinase	AGMAT
alkylglycerol monooxygenase	AGMO
agammaglobulinemia, X-linked 2 (with growth hormone deficiency)	AGMX2
argonaute RISC component 1	AGO1
argonaute RISC catalytic component 2	AGO2
argonaute RISC catalytic component 3	AGO3
argonaute RISC component 4	AGO4
1-acylglycerol-3-phosphate O-acyltransferase 1	AGPAT1
1-acylglycerol-3-phosphate O-acyltransferase 2	AGPAT2
1-acylglycerol-3-phosphate O-acyltransferase 3	AGPAT3
1-acylglycerol-3-phosphate O-acyltransferase 4	AGPAT4
AGPAT4 intronic transcript 1	AGPAT4-IT1
1-acylglycerol-3-phosphate O-acyltransferase 5	AGPAT5
1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1	AGPAT5P1
alkylglycerone phosphate synthase	AGPS
anterior gradient 2, protein disulphide isomerase family member	AGR2
anterior gradient 3, protein disulphide isomerase family member	AGR3
agrin	AGRN
agouti related neuropeptide	AGRP
angiotensinogen	AGT
ATP/GTP binding protein 1	AGTPBP1
angiotensin II receptor type 1	AGTR1
angiotensin II receptor type 2	AGTR2
angiotensin II receptor associated protein	AGTRAP
alanine--glyoxylate and serine--pyruvate aminotransferase	AGXT
alanine--glyoxylate aminotransferase 2	AGXT2
AT-hook containing transcription factor 1	AHCTF1
AT-hook containing transcription factor 1 pseudogene 1	AHCTF1P1
adenosylhomocysteinase	AHCY
adenosylhomocysteinase like 1	AHCYL1
adenosylhomocysteinase like 2	AHCYL2
adenosylhomocysteinase pseudogene 1	AHCYP1
adenosylhomocysteinase pseudogene 2	AHCYP2
adenosylhomocysteinase pseudogene 3	AHCYP3
adenosylhomocysteinase pseudogene 4	AHCYP4
adenosylhomocysteinase pseudogene 5	AHCYP5
adenosylhomocysteinase pseudogene 6	AHCYP6
adenosylhomocysteinase pseudogene 7	AHCYP7
adenosylhomocysteinase pseudogene 8	AHCYP8
AT-hook DNA binding motif containing 1	AHDC1
Abelson helper integration site 1	AHI1
AHNAK nucleoprotein	AHNAK
AHNAK nucleoprotein 2	AHNAK2
aryl hydrocarbon receptor	AHR
aryl-hydrocarbon receptor repressor	AHRR
activator of HSP90 ATPase activity 1	AHSA1
activator of HSP90 ATPase homolog 2, pseudogene	AHSA2P
alpha 2-HS glycoprotein	AHSG
alpha hemoglobin stabilizing protein	AHSP
Aicardi syndrome	AIC
activation induced cytidine deaminase	AICDA
axin interactor, dorsalization associated	AIDA
allograft inflammatory factor 1	AIF1
allograft inflammatory factor 1 like	AIF1L
apoptosis inducing factor mitochondria associated 1	AIFM1
AIFM1 pseudogene 1	AIFM1P1
apoptosis inducing factor mitochondria associated 2	AIFM2
apoptosis inducing factor mitochondria associated 3	AIFM3
androgen induced 1	AIG1
androgen induced 1 pseudogene 1	AIG1P1
amelogenesis imperfecta 3, hypomaturation or hypoplastic type	AIH3
absent in melanoma 2	AIM2
aminoacyl tRNA synthetase complex interacting multifunctional protein 1	AIMP1
aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 1	AIMP1P1
aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 2	AIMP1P2
aminoacyl tRNA synthetase complex interacting multifunctional protein 2	AIMP2
aryl hydrocarbon receptor interacting protein	AIP
aryl hydrocarbon receptor interacting protein like 1	AIPL1
autoimmune regulator	AIRE
antisense of IGF2R non-protein coding RNA	AIRN
autoimmune susceptibility 1	AIS1
autoimmune susceptibility 2	AIS2
autoimmune susceptibility 3 (vitiligo specific)	AIS3
adherens junctions associated protein 1	AJAP1
apical junction component 1 homolog	AJM1
ajuba LIM protein	AJUBA
adenylate kinase 1	AK1
adenylate kinase 2	AK2
adenylate kinase 2 pseudogene 1	AK2P1
adenylate kinase 2 pseudogene 2	AK2P2
adenylate kinase 3	AK3
adenylate kinase 3 pseudogene 2	AK3P2
adenylate kinase 3 pseudogene 3	AK3P3
adenylate kinase 3 pseudogene 4	AK3P4
adenylate kinase 3 pseudogene 5	AK3P5
adenylate kinase 3 pseudogene 6	AK3P6
adenylate kinase 4	AK4
adenylate kinase 4 pseudogene 1	AK4P1
adenylate kinase 4 pseudogene 2	AK4P2
adenylate kinase 4 pseudogene 3	AK4P3
adenylate kinase 4 pseudogene 4	AK4P4
adenylate kinase 4 pseudogene 5	AK4P5
adenylate kinase 4 pseudogene 6	AK4P6
adenylate kinase 5	AK5
adenylate kinase 6	AK6
adenylate kinase 6 pseudogene 1	AK6P1
adenylate kinase 6 pseudogene 2	AK6P2
adenylate kinase 7	AK7
adenylate kinase 8	AK8
adenylate kinase 9	AK9
A-kinase anchor inhibitor 1	AKAIN1
A-kinase anchoring protein 1	AKAP1
A-kinase anchoring protein 2	AKAP2
A-kinase anchoring protein 3	AKAP3
A-kinase anchoring protein 4	AKAP4
A-kinase anchoring protein 5	AKAP5
A-kinase anchoring protein 6	AKAP6
A-kinase anchoring protein 7	AKAP7
A-kinase anchoring protein 8	AKAP8
A-kinase anchoring protein 8 like	AKAP8L
A-kinase anchoring protein 8 pseudogene 1	AKAP8P1
A-kinase anchoring protein 9	AKAP9
A-kinase anchoring protein 10	AKAP10
A-kinase anchoring protein 11	AKAP11
A-kinase anchoring protein 12	AKAP12
A-kinase anchoring protein 13	AKAP13
A-kinase anchoring protein 14	AKAP14
A-kinase anchoring protein 17A	AKAP17A
A-kinase anchoring protein 17B, pseudogene	AKAP17BP
A-kinase interacting protein 1	AKIP1
akirin 1	AKIRIN1
akirin 1 pseudogene 1	AKIRIN1P1
akirin 1 pseudogene 2	AKIRIN1P2
akirin 2	AKIRIN2
akirin 2 pseudogene 1	AKIRIN2P1
AT-hook transcription factor	AKNA
AKNA domain containing 1	AKNAD1
aldo-keto reductase family 1 member A1	AKR1A1
aldo-keto reductase family 1 member B	AKR1B1
aldehyde reductase family 1 member B1 pseudogene 1	AKR1B1P1
aldo-keto reductase family 1 member B1 pseudogene 2	AKR1B1P2
aldo-keto reductase family 1 member B1 pseudogene 3	AKR1B1P3
aldo-keto reductase family 1 member B1 pseudogene 4	AKR1B1P4
aldo-keto reductase family 1 member B1 pseudogene 5	AKR1B1P5
aldo-keto reductase family 1 member B1 pseudogene 6	AKR1B1P6
aldo-keto reductase family 1 member B1 pseudogene 7	AKR1B1P7
aldo-keto reductase family 1 member B1 pseudogene 8	AKR1B1P8
aldo-keto reductase family 1 member B10	AKR1B10
aldo-keto reductase family 1 member B10 pseudogene 1	AKR1B10P1
aldo-keto reductase family 1 member B10 pseudogene 2	AKR1B10P2
aldo-keto reductase family 1 member B15	AKR1B15
aldo-keto reductase family 1 member C1	AKR1C1
aldo-keto reductase family 1 member C2	AKR1C2
aldo-keto reductase family 1 member C3	AKR1C3
aldo-keto reductase family 1 member C4	AKR1C4
aldo-keto reductase family 1 member C5, pseudogene	AKR1C5P
aldo-keto reductase family 1 member C6, pseudogene	AKR1C6P
aldo-keto reductase family 1 member C7, pseudogene	AKR1C7P
aldo-keto reductase family 1 member C8, pseudogene	AKR1C8P
aldo-keto reductase family 1 member D1	AKR1D1
aldo-keto reductase family 1 member D1 pseudogene 1	AKR1D1P1
aldo-keto reductase family 1 member E2	AKR1E2
aldo-keto reductase family 7 member A2	AKR7A2
aldo-keto reductase family 7 member A2 pseudogene 1	AKR7A2P1
aldo-keto reductase family 7 member A3	AKR7A3
aldo-keto reductase family 7 like (gene/pseudogene)	AKR7L
AKT serine/threonine kinase 1	AKT1
AKT1 substrate 1	AKT1S1
AKT serine/threonine kinase 2	AKT2
AKT serine/threonine kinase 3	AKT3
AKT3 intronic transcript 1	AKT3-IT1
AKT interacting protein	AKTIP
aminolevulinate dehydratase	ALAD
5'-aminolevulinate synthase 1	ALAS1
5'-aminolevulinate synthase 2	ALAS2
albumin	ALB
activated leukocyte cell adhesion molecule	ALCAM
aldehyde dehydrogenase 1 family member A1	ALDH1A1
aldehyde dehydrogenase 1 family member A2	ALDH1A2
aldehyde dehydrogenase 1 family member A3	ALDH1A3
aldehyde dehydrogenase 1 family member B1	ALDH1B1
aldehyde dehydrogenase 1 family member L1	ALDH1L1
ALDH1L1 antisense RNA 1	ALDH1L1-AS1
ALDH1L1 antisense RNA 2	ALDH1L1-AS2
aldehyde dehydrogenase 1 family member L2	ALDH1L2
aldehyde dehydrogenase 2 family member	ALDH2
aldehyde dehydrogenase 3 family member A1	ALDH3A1
aldehyde dehydrogenase 3 family member A2	ALDH3A2
aldehyde dehydrogenase 3 family member B1	ALDH3B1
aldehyde dehydrogenase 3 family member B2	ALDH3B2
aldehyde dehydrogenase 4 family member A1	ALDH4A1
aldehyde dehydrogenase 5 family member A1	ALDH5A1
aldehyde dehydrogenase 6 family member A1	ALDH6A1
aldehyde dehydrogenase 7 family member A1	ALDH7A1
aldehyde dehydrogenase 7 family member A1 pseudogene 1	ALDH7A1P1
aldehyde dehydrogenase 7 family member A1 pseudogene 2	ALDH7A1P2
aldehyde dehydrogenase 7 family member A1 pseudogene 3	ALDH7A1P3
aldehyde dehydrogenase 7 family member A1 pseudogene 4	ALDH7A1P4
aldehyde dehydrogenase 8 family member A1	ALDH8A1
aldehyde dehydrogenase 9 family member A1	ALDH9A1
aldehyde dehydrogenase 16 family member A1	ALDH16A1
aldehyde dehydrogenase 18 family member A1	ALDH18A1
aldolase, fructose-bisphosphate A	ALDOA
ALDOA pseudogene 1	ALDOAP1
ALDOA pseudogene 2	ALDOAP2
aldolase, fructose-bisphosphate B	ALDOB
aldolase, fructose-bisphosphate C	ALDOC
ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase	ALG1
ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like	ALG1L
ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2	ALG1L2
ALG1 like 3, pseudogene	ALG1L3P
ALG1 like 5, pseudogene	ALG1L5P
ALG1 like 6, pseudogene	ALG1L6P
ALG1 like 7, pseudogene	ALG1L7P
ALG1 like 8, pseudogene	ALG1L8P
ALG1 like 9, pseudogene	ALG1L9P
ALG1 like 10, pseudogene	ALG1L10P
ALG1 like 11, pseudogene	ALG1L11P
ALG1 like 12, pseudogene	ALG1L12P
ALG1 like 13, pseudogene	ALG1L13P
ALG1 like 14, pseudogene	ALG1L14P
ALG1 like 15, pseudogene	ALG1L15P
ALG2 alpha-1,3/1,6-mannosyltransferase	ALG2
ALG3 alpha-1,3- mannosyltransferase	ALG3
ALG3 pseudogene 1	ALG3P1
ALG5 dolichyl-phosphate beta-glucosyltransferase	ALG5
ALG6 alpha-1,3-glucosyltransferase	ALG6
ALG8 alpha-1,3-glucosyltransferase	ALG8
ALG9 alpha-1,2-mannosyltransferase	ALG9
ALG9 intronic transcript 1	ALG9-IT1
ALG10 alpha-1,2-glucosyltransferase	ALG10
ALG10 alpha-1,2-glucosyltransferase B	ALG10B
ALG11 alpha-1,2-mannosyltransferase	ALG11
ALG12 alpha-1,6-mannosyltransferase	ALG12
ALG13 UDP-N-acetylglucosaminyltransferase subunit	ALG13
ALG13 antisense RNA 1	ALG13-AS1
ALG14 UDP-N-acetylglucosaminyltransferase subunit	ALG14
ALK receptor tyrosine kinase	ALK
ALK and LTK ligand 1	ALKAL1
ALK and LTK ligand 2	ALKAL2
alkB homolog 1, histone H2A dioxygenase	ALKBH1
alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	ALKBH2
alkB homolog 3, alpha-ketoglutaratedependent dioxygenase	ALKBH3
ALKBH3 antisense RNA 1	ALKBH3-AS1
alkB homolog 4, lysine demethylase	ALKBH4
alkB homolog 5, RNA demethylase	ALKBH5
alkB homolog 6	ALKBH6
alkB homolog 7	ALKBH7
alkB homolog 8, tRNA methyltransferase	ALKBH8
allantoicase	ALLC
ALMS1 centrosome and basal body associated protein	ALMS1
ALMS1 intronic transcript 1	ALMS1-IT1
ALMS1 pseudogene 1	ALMS1P1
arachidonate 5-lipoxygenase	ALOX5
arachidonate 5-lipoxygenase activating protein	ALOX5AP
arachidonate 12-lipoxygenase, 12S type	ALOX12
ALOX12 antisense RNA 1	ALOX12-AS1
arachidonate 12-lipoxygenase, 12R type	ALOX12B
arachidonate 12-lipoxygenase pseudogene 1	ALOX12P1
arachidonate 12-lipoxygenase pseudogene 2	ALOX12P2
arachidonate 15-lipoxygenase	ALOX15
arachidonate 15-lipoxygenase type B	ALOX15B
arachidonate 15-lipoxygenase pseudogene 1	ALOX15P1
arachidonate 15-lipoxygenase pseudogene 2	ALOX15P2
arachidonate lipoxygenase 3	ALOXE3
arachidonate lipoxygenase 3 pseudogene 1	ALOXE3P1
alkaline phosphatase, germ cell	ALPG
alkaline phosphatase, intestinal	ALPI
alpha kinase 1	ALPK1
alpha kinase 2	ALPK2
alpha kinase 3	ALPK3
alkaline phosphatase, biomineralization associated	ALPL
alkaline phosphatase, placental	ALPP
alkaline phosphatase, pseudogene	ALPPP
alsin Rho guanine nucleotide exchange factor ALS2	ALS2
ALS2 C-terminal like	ALS2CL
ALS2 chromosome region 12	ALS2CR12
amyotrophic lateral sclerosis 3 (autosomal dominant)	ALS3
amyotrophic lateral sclerosis 5	ALS5
amyotrophic lateral sclerosis 7	ALS7
ALX homeobox 1	ALX1
ALX homeobox 3	ALX3
ALX homeobox 4	ALX4
Aly/REF export factor	ALYREF
alpha-methylacyl-CoA racemase	AMACR
ameloblastin	AMBN
alpha-1-microglobulin/bikunin precursor	AMBP
autophagy and beclin 1 regulator 1	AMBRA1
arthrogryposis multiplex congenita, neurogenic	AMCN
adenosylmethionine decarboxylase 1	AMD1
adenosylmethionine decarboxylase 1 pseudogene 1	AMD1P1
adenosylmethionine decarboxylase 1 pseudogene 2	AMD1P2
adenosylmethionine decarboxylase 1 pseudogene 3	AMD1P3
adenosylmethionine decarboxylase 1 pseudogene 4	AMD1P4
amidohydrolase domain containing 1	AMDHD1
amidohydrolase domain containing 2	AMDHD2
amelogenin X-linked	AMELX
amelogenin Y-linked	AMELY
APC membrane recruitment protein 1	AMER1
APC membrane recruitment protein 2	AMER2
APC membrane recruitment protein 3	AMER3
autocrine motility factor receptor	AMFR
anti-Mullerian hormone	AMH
anti-Mullerian hormone receptor type 2	AMHR2
adhesion molecule with Ig like domain 1	AMIGO1
adhesion molecule with Ig like domain 2	AMIGO2
adhesion molecule with Ig like domain 3	AMIGO3
acute myeloid leukemia chromosome region 2	AMLCR2
Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	AMMECR1
AMMECR1 intronic transcript 1	AMMECR1-IT1
AMMECR1 like	AMMECR1L
AMMECR1 like pseudogene 1	AMMECR1LP1
amnion associated transmembrane protein	AMN
antagonist of mitotic exit network 1 homolog	AMN1
angiomotin	AMOT
angiomotin like 1	AMOTL1
angiomotin like 2	AMOTL2
adenosine monophosphate deaminase 1	AMPD1
adenosine monophosphate deaminase 2	AMPD2
adenosine monophosphate deaminase 3	AMPD3
amphiphysin	AMPH
aminomethyltransferase	AMT
amelotin	AMTN
amylase alpha 1A (salivary)	AMY1A
amylase alpha 1B (salivary)	AMY1B
amylase alpha 1C (salivary)	AMY1C
amylase alpha 2A (pancreatic)	AMY2A
amylase alpha 2B (pancreatic)	AMY2B
amylase alpha pseudogene 1	AMYP1
archaelysin family metallopeptidase 1	AMZ1
archaelysin family metallopeptidase 2	AMZ2
archaelysin family metallopeptidase 2 pseudogene 1	AMZ2P1
archaelysin family metallopeptidase 2 pseudogene 2	AMZ2P2
anaphase promoting complex subunit 1	ANAPC1
anaphase promoting complex subunit 1 pseudogene 1	ANAPC1P1
anaphase promoting complex subunit 2	ANAPC2
anaphase promoting complex subunit 4	ANAPC4
anaphase promoting complex subunit 5	ANAPC5
anaphase promoting complex subunit 7	ANAPC7
anaphase promoting complex subunit 10	ANAPC10
anaphase promoting complex subunit 10 pseudogene 1	ANAPC10P1
anaphase promoting complex subunit 11	ANAPC11
anaphase promoting complex subunit 13	ANAPC13
anaphase promoting complex subunit 15	ANAPC15
anaphase promoting complex subunit 16	ANAPC16
Angelman syndrome chromosome region	ANCR
angiogenin	ANG
angel homolog 1	ANGEL1
angel homolog 2	ANGEL2
angiopoietin 1	ANGPT1
angiopoietin 2	ANGPT2
angiopoietin 4	ANGPT4
angiopoietin like 1	ANGPTL1
angiopoietin like 2	ANGPTL2
angiopoietin like 3	ANGPTL3
angiopoietin like 4	ANGPTL4
angiopoietin like 5	ANGPTL5
angiopoietin like 6	ANGPTL6
angiopoietin like 7	ANGPTL7
angiopoietin like 8	ANGPTL8
anomalous homeobox	ANHX
aneurysm, intracranial berry 1	ANIB1
aneurysm, intracranial berry 2	ANIB2
aneurysm, intracranial berry 3	ANIB3
aneurysm, intracranial berry 4	ANIB4
ankyrin 1	ANK1
ankyrin 2	ANK2
ankyrin 3	ANK3
ANK3 divergent transcript	ANK3-DT
ankyrin and armadillo repeat containing	ANKAR
ankyrin repeat and death domain containing 1A	ANKDD1A
ankyrin repeat and death domain containing 1B	ANKDD1B
ankyrin repeat and EF-hand domain containing 1	ANKEF1
ankyrin repeat and fibronectin type III domain containing 1	ANKFN1
ankyrin repeat and FYVE domain containing 1	ANKFY1
ANKH inorganic pyrophosphate transport regulator	ANKH
ankyrin repeat and KH domain containing 1	ANKHD1
ANKHD1-EIF4EBP3 readthrough	ANKHD1-EIF4EBP3
ankyrin repeat and IBR domain containing 1	ANKIB1
ankyrin repeat and kinase domain containing 1	ANKK1
ankyrin repeat and LEM domain containing 1	ANKLE1
ankyrin repeat and LEM domain containing 2	ANKLE2
ankyrin repeat and MYND domain containing 1	ANKMY1
ankyrin repeat and MYND domain containing 2	ANKMY2
ankyrin repeat family A member 2	ANKRA2
ankyrin repeat domain 1	ANKRD1
ankyrin repeat domain 2	ANKRD2
ankyrin repeat domain 6	ANKRD6
ankyrin repeat domain 7	ANKRD7
ankyrin repeat domain 9	ANKRD9
ankyrin repeat domain 10	ANKRD10
ANKRD10 intronic transcript 1	ANKRD10-IT1
ankyrin repeat domain 11	ANKRD11
ankyrin repeat domain 12	ANKRD12
ankyrin repeat domain 13A	ANKRD13A
ankyrin repeat domain 13B	ANKRD13B
ankyrin repeat domain 13C	ANKRD13C
ankyrin repeat domain 13D	ANKRD13D
ankyrin repeat domain 16	ANKRD16
ankyrin repeat domain 17	ANKRD17
ankyrin repeat domain 18A	ANKRD18A
ankyrin repeat domain 18B	ANKRD18B
ankyrin repeat domain 18C, pseudogene	ANKRD18CP
ankyrin repeat domain 18D, pseudogene	ANKRD18DP
ankyrin repeat domain 18E, pseudogene	ANKRD18EP
ankyrin repeat domain 19, pseudogene	ANKRD19P
ankyrin repeat domain 20 family member A1	ANKRD20A1
ankyrin repeat domain 20 family member A2	ANKRD20A2
ankyrin repeat domain 20 family member A3	ANKRD20A3
ankyrin repeat domain 20 family member A4	ANKRD20A4
ankyrin repeat domain 20 family member A5, pseudogene	ANKRD20A5P
ankyrin repeat domain 20 family member A6, pseudogene	ANKRD20A6P
ankyrin repeat domain 20 family member A7, pseudogene	ANKRD20A7P
ankyrin repeat domain 20 family member A8, pseudogene	ANKRD20A8P
ankyrin repeat domain 20 family member A9, pseudogene	ANKRD20A9P
ankyrin repeat domain 20 family member A10, pseudogene	ANKRD20A10P
ankyrin repeat domain 20 family member A11, pseudogene	ANKRD20A11P
ankyrin repeat domain 20 family member A12, pseudogene	ANKRD20A12P
ankyrin repeat domain 20 family member A13, pseudogene	ANKRD20A13P
ankyrin repeat domain 20 family member A14, pseudogene	ANKRD20A14P
ankyrin repeat domain 20 family member A15, pseudogene	ANKRD20A15P
ankyrin repeat domain 20 family member A16, pseudogene	ANKRD20A16P
ankyrin repeat domain 20 family member A17, pseudogene	ANKRD20A17P
ankyrin repeat domain 20 family member A18, pseudogene	ANKRD20A18P
ankyrin repeat domain 20 family member A19, pseudogene	ANKRD20A19P
ankyrin repeat domain 20 family member A20, pseudogene	ANKRD20A20P
ankyrin repeat domain 20 family member A21, pseudogene	ANKRD20A21P
ankyrin repeat domain 22	ANKRD22
ankyrin repeat domain 23	ANKRD23
ankyrin repeat domain 24	ANKRD24
ankyrin repeat domain 26	ANKRD26
ankyrin repeat domain 26 pseudogene 1	ANKRD26P1
ankyrin repeat domain 26 pseudogene 2	ANKRD26P2
ankyrin repeat domain 26 pseudogene 3	ANKRD26P3
ankyrin repeat domain 26 pseudogene 4	ANKRD26P4
ankyrin repeat domain 27	ANKRD27
ankyrin repeat domain 28	ANKRD28
ankyrin repeat domain 29	ANKRD29
ankyrin repeat domain 30A	ANKRD30A
ankyrin repeat domain 30B	ANKRD30B
ankyrin repeat domain 30B like	ANKRD30BL
ankyrin repeat domain 30B pseudogene 1	ANKRD30BP1
ankyrin repeat domain 30B pseudogene 2	ANKRD30BP2
ankyrin repeat domain 30B pseudogene 3	ANKRD30BP3
ankyrin repeat domain 31	ANKRD31
ankyrin repeat domain 33	ANKRD33
ankyrin repeat domain 33B	ANKRD33B
ANKRD33B antisense RNA 1	ANKRD33B-AS1
ankyrin repeat domain 34A	ANKRD34A
ankyrin repeat domain 34B	ANKRD34B
ankyrin repeat domain 34C	ANKRD34C
ANKRD34C antisense RNA 1	ANKRD34C-AS1
ankyrin repeat domain 35	ANKRD35
ankyrin repeat domain 36	ANKRD36
ankyrin repeat domain 36B	ANKRD36B
ankyrin repeat domain 36B pseudogene 1	ANKRD36BP1
ankyrin repeat domain 36B pseudogene 2	ANKRD36BP2
ankyrin repeat domain 36C	ANKRD36C
ankyrin repeat domain 36 pseudogene 1	ANKRD36P1
ankyrin repeat domain 37	ANKRD37
ankyrin repeat domain 39	ANKRD39
ankyrin repeat domain 40	ANKRD40
ANKRD40 C-terminal like	ANKRD40CL
ankyrin repeat domain 42	ANKRD42
ankyrin repeat domain 44	ANKRD44
ANKRD44 intronic transcript 1	ANKRD44-IT1
ankyrin repeat domain 45	ANKRD45
ankyrin repeat domain 46	ANKRD46
ankyrin repeat domain 49	ANKRD49
ankyrin repeat domain 50	ANKRD50
ankyrin repeat domain 52	ANKRD52
ankyrin repeat domain 53	ANKRD53
ankyrin repeat domain 54	ANKRD54
ankyrin repeat domain 54 pseudogene 1	ANKRD54P1
ankyrin repeat domain 55	ANKRD55
ankyrin repeat domain 57 pseudogene 1	ANKRD57P1
ankyrin repeat domain 60	ANKRD60
ankyrin repeat domain 61	ANKRD61
ankyrin repeat domain 62	ANKRD62
ankyrin repeat domain 62 pseudogene 1	ANKRD62P1
