Abnormality of body height	Abnormality of body height
Retrognathia of lower jaw	Retrognathia
Weak chin	Retrognathia
Weak jaw	Retrognathia
Coarse face	Coarse facial features
Coarse facial appearance	Coarse facial features
Coarse facial features	Coarse facial features
Coarse facies	Coarse facial features
Rounded and heavy facial features	Coarse facial features
Thickened facial skin with coarse facial features	Coarse facial features
Facial puffiness	Facial edema
Facial swelling	Facial edema
Broad face	Broad face
Broad facies	Broad face
Horizontal excess of face	Broad face
Horizontal hyperplasia of face	Broad face
Increased breadth of face	Broad face
Increased horizontal dimension of face	Broad face
Increased transverse dimension of face	Broad face
Increased width of face	Broad face
Transverse excess of face	Broad face
Transverse hyperplasia of face	Broad face
Wide face	Broad face
Wide facies	Broad face
Epicanthal fold	Epicanthus
Epicanthal folds	Epicanthus
Epicanthic folds	Epicanthus
Eye folds	Epicanthus
Palpebronasal fold	Epicanthus
Plica palpebronasalis	Epicanthus
Prominent eye folds	Epicanthus
Facial fat hyperplasia	Increased facial adipose tissue
Facial fat hypertrophy	Increased facial adipose tissue
Hyperplasia of facial adipose tissue	Increased facial adipose tissue
Hypertrophy of facial adipose tissue	Increased facial adipose tissue
Increased amount of facial adipose tissue	Increased facial adipose tissue
Increased amount of facial fat	Increased facial adipose tissue
Increased volume of facial adipose tissue	Increased facial adipose tissue
Abnormal philtrum	Abnormality of the philtrum
Abnormality of the infranasal depression	Abnormality of the philtrum
Abnormality of the paralabial region	Abnormality of the philtrum
Increased breadth of philtrum	Broad philtrum
Increased horizontal dimension of philtrum	Broad philtrum
Increased transverse dimension of philtrum	Broad philtrum
Increased width of philtrum	Broad philtrum
Wide philtrum	Broad philtrum
Abnormality of the forehead	Abnormality of the forehead
Abnormality of the frontal region of the face	Abnormality of the forehead
Anomaly of the forehead	Abnormality of the forehead
Deformity of the forehead	Abnormality of the forehead
Malformation of the forehead	Abnormality of the forehead
Abnormality of facial fat	Abnormality of facial adipose tissue
Deformity of facial adipose tissue	Abnormality of facial adipose tissue
Malformation of facial adipose tissue	Abnormality of facial adipose tissue
Decreased amount of facial adipose tissue	Loss of facial adipose tissue
Decreased amount of facial fat	Loss of facial adipose tissue
Decreased volume of facial adipose tissue	Loss of facial adipose tissue
Loss of facial fat	Loss of facial adipose tissue
Loss of facial subcutaneous adipose tissue	Loss of facial adipose tissue
Loss of subcutaneous adipose tissue from face	Loss of facial adipose tissue
Apple cheeks	Full cheeks
Big cheeks	Full cheeks
Chubby cheeks	Full cheeks
Full cheeks	Full cheeks
Hyperplasia of cheeks	Full cheeks
Hypertrophy of cheeks	Full cheeks
Increased size of cheeks	Full cheeks
Large cheeks	Full cheeks
Puffy cheeks	Full cheeks
Low frontal hairline	Low anterior hairline
Low-set frontal hairline	Low anterior hairline
Doll-like facial appearance	Doll-like facies
Atony of facial musculature	Facial hypotonia
Decreased facial muscle tone	Facial hypotonia
Hypotonic facies	Facial hypotonia
Low facial muscle tone	Facial hypotonia
Reduced facial muscle tone	Facial hypotonia
Amimia	Mask-like facies
Expressionless face	Mask-like facies
Lack of facial expression	Mask-like facies
Mask-like facial appearance	Mask-like facies
Masklike facies	Mask-like facies
Oval face	Oval face
Oval facial shape	Oval face
Oval facies	Oval face
Abnormality of facial muscles	Abnormality of facial musculature
Facial muscle issue	Abnormality of facial musculature
Big lower jaw	Mandibular prognathia
Big mandible	Mandibular prognathia
Enlarged mandible	Mandibular prognathia
Enlargement of mandible	Mandibular prognathia
Hyperplasia of lower jaw	Mandibular prognathia
Hypertrophy of lower jaw	Mandibular prognathia
Hypertrophy of mandible	Mandibular prognathia
Increased projection of lower jaw	Mandibular prognathia
Increased projection of mandible	Mandibular prognathia
Increased size of lower jaw	Mandibular prognathia
Increased size of mandible	Mandibular prognathia
Large lower jaw	Mandibular prognathia
Large mandible	Mandibular prognathia
Lower jaw excess	Mandibular prognathia
Lower jaw hyperplasia	Mandibular prognathia
Macromandible	Mandibular prognathia
Mandible prognathism	Mandibular prognathia
Mandibular excess	Mandibular prognathia
Mandibular hyperplasia	Mandibular prognathia
Mandibular macrognathia	Mandibular prognathia
Mandibular prognathism	Mandibular prognathia
Prognathia	Mandibular prognathia
Prognathism	Mandibular prognathia
Prominent chin	Mandibular prognathia
Prominent jaw	Mandibular prognathia
Prominent lower jaw	Mandibular prognathia
Prominent mandible	Mandibular prognathia
Relative mandibular prognathism	Mandibular prognathia
Abnormality of the chin	Abnormality of the chin
Abnormality of the menton	Abnormality of the chin
Anomaly of the chin	Abnormality of the chin
Deformity of the chin	Abnormality of the chin
Malformation of the chin	Abnormality of the chin
Pointed chin	Pointed chin
Pointed mention region	Pointed chin
Pointy chin	Pointed chin
Small pointed chin	Pointed chin
Witch's chin	Pointed chin
Retromicrognathia	Microretrognathia
Small retruded chin	Microretrognathia
Abnormality of the midface	Abnormality of the midface
Anomaly of the midface	Abnormality of the midface
Deformity of the midface	Abnormality of the midface
Malformation of the midface	Abnormality of the midface
Circular face	Round face
Round face	Round face
Round facial appearance	Round face
Round facial shape	Round face
Round facies	Round face
Round, full face	Round face
Abnormality of the eye region	Abnormality of the orbital region
Abnormality of the region around the eyes	Abnormality of the orbital region
Anomaly of the orbital region of the face	Abnormality of the orbital region
Deformity of the orbital region of the face	Abnormality of the orbital region
Malformation of the orbital region of the face	Abnormality of the orbital region
Excessive orbital separation	Hypertelorism
Increased distance between eye sockets	Hypertelorism
Increased distance between eyes	Hypertelorism
Increased interpupillary distance	Hypertelorism
Ocular hypertelorism	Hypertelorism
Wide-set eyes	Hypertelorism
Widely spaced eyes	Hypertelorism
Widened interpupillary distance	Hypertelorism
Involuntary facial contraction	Facial myokymia
Involuntary facial quivering	Facial myokymia
Decreased depth of philtrum	Smooth philtrum
Flat philtrum	Smooth philtrum
Indistinct philtrum	Smooth philtrum
Philtrum, smooth	Smooth philtrum
Shallow philtrum	Smooth philtrum
Simple philtrum	Smooth philtrum
Bird-like facial appearance	Bird-like facies
Square face	Square face
Square facial shape	Square face
Square facies	Square face
Decreased height of philtrum	Short philtrum
Decreased length of philtrum	Short philtrum
Decreased vertical dimension of philtrum	Short philtrum
Vertical hypoplasia of philtrum	Short philtrum
Asymmetric facies	Facial asymmetry
Asymmetry of face	Facial asymmetry
Asymmetry of right and left side of face	Facial asymmetry
Crooked face	Facial asymmetry
Facial asymmetry	Facial asymmetry
Unbalanced face	Facial asymmetry
Unequal sides of face	Facial asymmetry
Uneven face	Facial asymmetry
Uneven sides of face	Facial asymmetry
Unsymmetrical face	Facial asymmetry
Face with broad temples and narrow chin	Triangular face
Triangular face	Triangular face
Triangular facial shape	Triangular face
Triangular facies	Triangular face
Abnormality of the upper jaw bone	Abnormality of the maxilla
Abnormality of the upper jaw bones	Abnormality of the maxilla
Anomaly of the maxilla	Abnormality of the maxilla
Deformity of the maxilla	Abnormality of the maxilla
Deformity of the upper jaw bones	Abnormality of the maxilla
Malformation of the maxilla	Abnormality of the maxilla
Malformation of the upper jaw bones	Abnormality of the maxilla
Decreased projection of maxilla	Hypoplasia of the maxilla
Decreased projection of upper jaw	Hypoplasia of the maxilla
Decreased size of maxilla	Hypoplasia of the maxilla
Decreased size of upper jaw	Hypoplasia of the maxilla
Deficiency of upper jaw bones	Hypoplasia of the maxilla
Hypoplasia of upper jaw bones	Hypoplasia of the maxilla
Hypoplastic maxillary bones	Hypoplasia of the maxilla
Hypotrophic maxilla	Hypoplasia of the maxilla
Hypotrophic upper jaw bones	Hypoplasia of the maxilla
Maxillary deficiency	Hypoplasia of the maxilla
Maxillary hypoplasia	Hypoplasia of the maxilla
Maxillary micrognathia	Hypoplasia of the maxilla
Maxillary retrognathia	Hypoplasia of the maxilla
Maxillary retrusion	Hypoplasia of the maxilla
Micromaxilla	Hypoplasia of the maxilla
Retrognathia of upper jaw	Hypoplasia of the maxilla
Retrusion of upper jaw bones	Hypoplasia of the maxilla
Small maxilla	Hypoplasia of the maxilla
Small upper jaw	Hypoplasia of the maxilla
Small upper jaw bones	Hypoplasia of the maxilla
Upper jaw deficiency	Hypoplasia of the maxilla
Upper jaw retrusion	Hypoplasia of the maxilla
Facial hemangiomata	Facial hemangioma
Decreased height of chin	Short chin
Short chin	Short chin
Short lower third of face	Short chin
Small chin	Short chin
Vertical deficiency of chin	Short chin
Vertical hypoplasia of chin	Short chin
Hyperplasia of supraorbital margins	Prominent supraorbital ridges
Hyperplasia of supraorbital ridge	Prominent supraorbital ridges
Hypertrophy of supraorbital margins	Prominent supraorbital ridges
Hypertrophy of supraorbital ridge	Prominent supraorbital ridges
Prominent brow	Prominent supraorbital ridges
Prominent supraorbital margins	Prominent supraorbital ridges
Prominent supraorbital ridge	Prominent supraorbital ridges
Protruding supraorbital ridge	Prominent supraorbital ridges
Supraorbital hyperostosis	Prominent supraorbital ridges
Bitemporal widening	Broad forehead
Broad forehead	Broad forehead
Increased bitemporal dimension	Broad forehead
Increased bitemporal width	Broad forehead
Increased width of the forehead	Broad forehead
Intertemporal widening	Broad forehead
Wide forehead	Broad forehead
Decreased facial expressions	Hypomimic face
Decreased facial muscle movement	Hypomimic face
Dull facial expression	Hypomimic face
Hypomimia	Hypomimic face
Boxer-like facial appearance	Pugilistic facies
Pugilistic facial appearance	Pugilistic facies
Inclined forehead	Sloping forehead
Posteriorly sloping forehead	Sloping forehead
Receding forehead	Sloping forehead
Sloping forehead	Sloping forehead
Bitemporal narrowing	Narrow forehead
Bitemporal narrowness	Narrow forehead
Bitemporal skull narrowing	Narrow forehead
Decreased width of the forehead	Narrow forehead
Intertemporal narrowing	Narrow forehead
Narrow bitemporal diameter	Narrow forehead
Narrow bitemporal width	Narrow forehead
Narrow forehead	Narrow forehead
Temporal narrowness	Narrow forehead
Elongated philtrum	Long philtrum
Increased height of philtrum	Long philtrum
Increased length of philtrum	Long philtrum
Increased vertical dimension of philtrum	Long philtrum
Vertical hyperplasia of philtrum	Long philtrum
Whistling appearance	Whistling appearance
Whistling facial appearance	Whistling appearance
Decreased projection of lower jaw	Micrognathia
Decreased projection of mandible	Micrognathia
Decreased size of lower jaw	Micrognathia
Decreased size of mandible	Micrognathia
Deficiency of lower jaw	Micrognathia
Hypoplasia of lower jaw	Micrognathia
Hypoplasia of mandible	Micrognathia
Hypoplastic mandible	Micrognathia
Hypoplastic mandible condyle	Micrognathia
Hypotrophic lower jaw	Micrognathia
Hypotrophic mandible	Micrognathia
Little lower jaw	Micrognathia
Little mandible	Micrognathia
Lower jaw deficiency	Micrognathia
Lower jaw hypoplasia	Micrognathia
Lower jaw retrognathia	Micrognathia
Lower jaw retrusion	Micrognathia
Mandibular deficiency	Micrognathia
Mandibular hypoplasia	Micrognathia
Mandibular micrognathia	Micrognathia
Mandibular retrognathia	Micrognathia
Mandibular retrusion	Micrognathia
Micrognathia of lower jaw	Micrognathia
Micromandible	Micrognathia
Retrusion of lower jaw	Micrognathia
Robin mandible	Micrognathia
Severe hypoplasia of mandible	Micrognathia
Small jaw	Micrognathia
Small lower jaw	Micrognathia
Small mandible	Micrognathia
Underdevelopment of lower jaw	Micrognathia
Underdevelopment of mandible	Micrognathia
High forehead	High forehead
Tall forehead	High forehead
Hairline peak	Widow's peak
Hairline point	Widow's peak
V-shaped frontal hairline	Widow's peak
Widow's peak	Widow's peak
Decreased size of forehead	Small forehead
Decreased size of frontal region of face	Small forehead
Hypoplasia of forehead	Small forehead
Hypotrophic forehead	Small forehead
Small forehead	Small forehead
Abnormal pinnae	Abnormality of the outer ear
Abnormality of the auricle	Abnormality of the outer ear
Abnormality of the external ear	Abnormality of the outer ear
Abnormality of the outer ear	Abnormality of the outer ear
Ear anomalies	Abnormality of the outer ear
External ear malformations	Abnormality of the outer ear
Malformed pinnae	Abnormality of the outer ear
Outer ear abnormality	Abnormality of the outer ear
Abnormal location of ears	Abnormal location of ears
External ear position defect	Abnormal location of ears
Ear, posterior angulation, increased	Posteriorly rotated ears
Ears rotated toward back of head	Posteriorly rotated ears
Posteriorly angulated ears	Posteriorly rotated ears
Posteriorly rotated	Posteriorly rotated ears
Posteriorly rotated auricles	Posteriorly rotated ears
Posteriorly-angulated ears	Posteriorly rotated ears
Posteriorly-rotated ears	Posteriorly rotated ears
Abnormality of the inner ear	Abnormality of the inner ear
Inner ear abnormality	Abnormality of the inner ear
Ringing in ears	Tinnitus
Ringing in the ears	Tinnitus
Abnormal earlobe	Abnormality of earlobe
Abnormal lobe of ear	Abnormality of earlobe
Abnormality of auricular lobule	Abnormality of earlobe
Abnormality of ear lobe	Abnormality of earlobe
Abnormality of earlobe	Abnormality of earlobe
Abnormality of lobulus auriculae	Abnormality of earlobe
Abnormal hearing	Hearing abnormality
Hearing abnormality	Hearing abnormality
