HPO name	Synonyms
Cupped ear	Capuchin ears, Cup-shaped ears, Cupped ear, Cupped ears, Simple, cup-shaped ears
Stapes ankylosis	
Abnormality of periauricular region	Abnormality of the region around the ear, Anomaly of the periauricular region, Deformity of the periauricular region, Malformation of the periauricular region
Preauricular skin tag	Ear tag, Periauricular skin tag, Preauricular acrochordon, Preauricular fibroepithelial polyp, Preauricular skin tags, Preauricular tag, Preauricular tags, Skin tag in front of the ear, Skin tag on the posterior cheek
Small earlobe	Hypoplastic earlobes, Hypoplastic lobules, Small earlobe, Small earlobes
Absent earlobe	Absent ear lobes, Absent earlobe, Earlobe, absent, Lobeless ears
Otitis media	Middle ear infection
Chronic otitis media	Chronic ear infection, Chronic infections of the middle ear, Chronic middle ear infection, Otitis media, chronic
Thickened helices	Thick helix
Lop ear	
Prominent antihelix	
Overfolded helix	Over-folded helices, Overfolded ears, Overfolded helices
Prelingual sensorineural hearing impairment	Deafness, sensorineural, prelingual, Prelingual sensorineural deafness
Macrotia	Large ears, Large pinnae
Stenosis of the external auditory canal	External auditory canal stenosis, Narrow auditory canals, Narrow ear canal, Narrow external auditory canals, Narrow external auditory meatus, Narrowing of passageway from outer ear to middle ear, Stenotic external auditory canal
Recurrent otitis media	Frequent otitis media, Multiple episodes of otitis media, Otitis media, recurrent, Recurrent episodes of otitis media, Recurrent middle ear infection, Susceptibility to otitis media
Conductive hearing impairment	Conduction deafness, Conductive deafness, Conductive hearing loss, Hearing loss, conductive
Sensorineural hearing impairment	Hearing loss, sensorineural, Sensorineural deafness, Sensorineural hearing loss
Progressive sensorineural hearing impairment	Bilateral progressive sensorineural hearing loss, Hearing loss, progressive sensorineural, Hearing loss, sensorineural, bilateral, progressive, Hearing loss, sensorineural, progressive, Progressive bilateral sensorineural hearing loss, Sensorineural hearing loss, progressive
Mixed hearing impairment	Hearing loss, mixed, Mixed hearing impairment, Mixed hearing loss
Protruding ear	Prominent ear, Prominent ears, Protruding ears
Atresia of the external auditory canal	Absent auditory canals, Absent ear canal, Absent external auditory canals, Atresia of the external auditory canals, Atretic auditory canal, Atretic auditory canals, Atretic external auditory canal, Atretic external auditory canals, Auditory canal atresia, External acoustic meatus atresia, External auditory canal atresia, External auditory meatal atresia, External auditory meatus atresia
Bulbous nose	Bulbous nasal tip, Bulbous nose, Potato nose
Abnormality of the choanae	
Slender nose	Slender nose
Narrow nasal ridge	Decreased width of dorsum of nose, Decreased width of nasal dorsum, Decreased width of nasal ridge, Narrow dorsum of nose, Narrow nasal dorsum, Narrow nasal ridge, Pinched nose, Thin dorsum of nose, Thin nasal dorsum, Thin nasal ridge
Abnormality of the nasal septum	Abnormality of septum of nose, Abnormality of the nasal septum, Anomaly of nasal septum, Anomaly of septum of nose
Short nasal septum	Decreased length of nasal septum, Decreased length of septum of nose, Short nasal septum, Short septum of nose
Epistaxis	Bloody nose, Frequent nosebleeds, Nose bleeding, Nosebleed
Abnormality of the nasal bridge	Abnormality of the bridge of the nose, Abnormality of the nasal bridge, Abnormality of the nasal root, Deformity of the bridge of the nose, Deformity of the nasal bridge, Malformation of the bridge of the nose, Malformation of the nasal bridge
Prominent nasal bridge	Convex bridge of nose, Convex nasal bridge, Elevated nasal bridge, High nasal bridge, Prominent bridge of nose, Prominent nasal bridge, Prominent nasal root, Protruding bridge of nose, Protruding nasal bridge
Abnormality of the nasal alae	Abnormality of the nasal ala, Abnormality of the nasal alar cartilage, Deformity of the nasal ala, Deformity of the nasal alar cartilage, Malformation of the nasal ala, Malformation of the nasal alar cartilage
Underdeveloped nasal alae	Ala nasi, underdeveloped, Alar cartilage hypoplasia, Decreased size of nasal alae, Hypoplastic alae nasae, Hypoplastic alae nasi, Hypoplastic alar cartilage, Hypoplastic alar nasae, Hypoplastic nares, Hypoplastic nasal alae, Hypoplastic nasal wings, Hypoplastic nostrils, Nasal cartilage hypoplasia, Small nasal alae, Thin hypoplastic alae nasi, Underdeveloped tissue around nostril
Wide nasal bridge	Broad flat nasal bridge, Broad nasal bridge, Broad nasal root, Broadened nasal bridge, Increased breadth of bridge of nose, Increased breadth of nasal bridge, Increased width of bridge of nose, Increased width of nasal bridge, Nasal bridge broad, Nasal bridge, wide, Wide bridge of nose, Wide nasal bridge, Widened nasal bridge
Abnormality of the nasal mucosa	Abnormality of mucosa of nose, Abnormality of mucous membrane of nose, Abnormality of nasal mucous membrane, Abnormality of the nasal mucosa
Nasal mucosa telangiectasia	Angioectasia of mucosa of nose, Angioectasia of mucous membrane of nose, Angioectasia of nasal mucous membrane, Nasal mucous membrane telangiectasia, Spider veins of mucosa of nose, Spider veins of mucous membrane of nose, Spider veins of nasal mucous membrane, Telangiectasia of mucosa of nose, Telangiectasia of mucous membrane of nose, Telangiectasia of nasal mucous membrane
Abnormality of the nasal tip	Abnormality of the nasal tip, Abnormality of tip of nose, Deformity of the nasal tip, Deformity of tip of nose, Malformation of the nasal tip, Malformation of tip of nose
Depressed nasal tip	Caved in nasal tip, Depressed nasal tip, Depressed tip of nose, Flat nasal tip, Flat tip of nose, Flattened nasal tip, Nasal tip, depressed, Nasal tip, recessed, Nasal tip, retruded, Retruded tip of nose
Convex nasal ridge	Beaked nose, Beaklike protrusion, Convex dorsum of nose, Convex nasal dorsum, Hooked nose, Polly beak nasal deformity
Wide nose	Broad nose, Increased breadth of nose, Increased nasal breadth, Increased nasal width, Increased width of nose, Wide nose
Narrow nasal bridge	Narrow bridge of nose, Narrow nasal bridge, Narrow nasal root, Nasal Bridge, Narrow, Nasal bridge, thin, Pinched bridge of nose, Pinched nasal bridge
Pear-shaped nose	Pear-shaped nose
Prominent nose	Big nose, Disproportionately large nose, Hyperplasia of nose, Hypertrophy of nose, Increased nasal size, Increased size of nose, Large nose, Nasal hyperplasia, Nasal hypertrophy, Prominent nose, Pronounced nose
Triangular nasal tip	Triangular nasal tip, Triangular shaped tip of nose
Choanal stenosis	Coanal stenosis, Narrowing of the rear opening of the nasal cavity
Choanal atresia	Blockage of the rear opening of the nasal cavity, Obstruction of the rear opening of the nasal cavity
Flared nostrils	Flared nasal alae, Flared nostrils
Broad nasal tip	Broad nasal tip, Broad tip of nose, Broad upturned nose, Broad, upturned nose, Increased breadth of nasal tip, Increased breadth of tip of nose, Increased width of nasal tip, Increased width of tip of nose, Nasal tip, broad, Nasal tip, wide, Wide tip of nose
Bifid nasal tip	Bifid tip of nose, Cleft nasal tip, Cleft tip of nose, Notched nasal tip, Notched tip of nose
Depressed nasal ridge	Depressed dorsum of nose, Depressed nasal dorsum, Flat dorsum of nose, Flat nasal dorsum, Flat nose, Recessed dorsum of nose, Recessed nasal dorsum, Recessed nasal ridge, Retruded dorsum of nose, Retruded nasal dorsum, Retruded nasal ridge
Anosmia	Lost smell
Narrow nose	Decreased nasal breadth, Decreased nasal width, Narrow nose, Thin nose
Anteverted nares	Anteverted nose, Anteverted nostrils, Nasal tip, upturned, Nostrils anteverted, Upturned nares, Upturned nasal tip, Upturned nasal tips, Upturned nose, Upturned nostrils
Abnormality of the neck	Abnormality of the neck, Anomaly of the neck, Deformity of the neck, Malformation of the neck
Webbed neck	Neck webbing, Pterygium colli, Webbed neck
Limited neck range of motion	Limited cervical range of motion, Limited neck range of motion
Neck muscle weakness	Flaccid neck, Floppy neck, Neck muscle weakness
Increased adipose tissue around the neck	Increased fat around the neck
Short neck	Cervical shortening, Decreased cervical height, Decreased cervical length, Decreased length of neck, Short neck
Gastrointestinal angiodysplasia	
Long neck	Cervical elongation, Elongated neck, Increased cervical length, Increased length of neck, Long neck
Torticollis	Cervical dystonia, Loxia, Spasmodic torticollis, Wry neck
Thickened nuchal skin fold	Excess nuchal skin, Thickened nuchal skin, Thickened skin folds of neck, Thickened skin over the neck
Broad neck	Broad neck, Increased width of neck, Thick neck, Wide neck
Cystic hygroma	Cystic hygroma of the neck
Abnormality of the eye	Abnormal eye, Abnormality of the eye, Eye disease
Abnormal retinal morphology	Abnormal retina, Abnormality of the retina, Anomaly of the retina, Retina issue, Retinal disease
Retinal coloboma	Hole in the back of the eye
Abnormal cornea morphology	Abnormality of the cornea, Corneal abnormalities, Corneal abnormality, Cornela disease
Microcornea	Cornea of eye less than 10mm in diameter, Decreased corneal diameter
Astigmatism	Abnormal curving of the cornea or lens of the eye
Hyperopic astigmatism	
Megalocornea	Anterior megalophthalmos, Enlarged cornea, Increased corneal diameter, Macrocornea
Strabismus	Cross-eyed, Squint, Squint eyes
obsolete Congenital strabismus	
Retinopathy	Noninflammatory retina disease
obsolete Abnormality of globe location or size	
Deeply set eye	Deep set eye, Deep-set eyes, Deeply set eye, Enophthalmos, Ocular depression, Sunken eye, Sunken eyes
Keratitis	Corneal inflammation
Abnormal eyelid morphology	Abnormality of the eyelid, Abnormality of the eyelids
Abnormal foveal morphology	Abnormality of the fovea
Downslanted palpebral fissures	Antimongoloid eye slant, Antimongoloid slant of palpebral fissures, Antimongoloid slanted palpebral fissures, Down slanting palpebral fissures, Down-slanted palpebral fissures, Down-slanting palpebral fissure, Down-slanting palpebral fissures, Downslanting palpebral fissure, Downslanting palpebral fissures, Downward slanted palpebral fissures, Downward slanting of the opening between the eyelids, Downward slanting palpebral fissures, Downward-slanting palpebral fissures, Palpebral fissures down-slanted
Recurrent corneal erosions	Corneal erosions, recurrent, Corneal ulcerations, Epithelial corneal erosions, Recurrent breakdown of clear protective layer of eye, Recurrent corneal ulceration, Recurrent corneal ulcerations
Abnormality of eye movement	Abnormal extraocular movement, Abnormal extraocular movements, Abnormal eye motility, Abnormal eye movement, Abnormal eye movements, Abnormal motility of the globe of the eye, Abnormal movement of the globe of the eye, Abnormal ocular movements, Abnormality of eye movement, Eye movement abnormalities, Eye movement issue, Ocular movement abnormalities, Oculomotor abnormalities
Globe retraction and deviation on abduction	
Blepharitis	Cellulitis of eyelids, Inflammation of eyelids
Abnormal eyelash morphology	Abnormal eyelashes, Abnormality of the eyelashes, Eyelash abnormality
Glaucoma	
Abnormal conjunctiva morphology	
Tortuosity of conjunctival vessels	
Abnormality of vision	Abnormality of sight, Abnormality of vision, Vision issue
Visual impairment	Impaired vision, Loss of eyesight, Poor vision, Visual impairment
Telecanthus	Corners of eye widely separated, Dystopia canthorum, Increased distance between medial canthi, Increased intercanthal distance
Ptosis	Blepharoptosis, Drooping upper eyelid, Eye drop, Eyelid ptosis
Conjunctivitis	Conjunctivitis, recurrent, Pink eye
Rod-cone dystrophy	Retinitis pigmentosa, Rod cone dystrophy
Vertical supranuclear gaze palsy	Vertical gaze palsy
Abnormal electroretinogram	Abnormal electroretinography, Abnormal ERG, ERG abnormal
Slow saccadic eye movements	Slow eye movements, Slow saccades, Slow visual tracking
Abnormality of the lens	Abnormality of the lens, Lens disease, Lens issue
Cataract	Cataracts, Clouding of the lens of the eye, Cloudy lens, Lens opacities, Lens opacity
Developmental cataract	Bilateral congenital cataracts, Cataract, congenital, Clouding of the lens of the eye at birth, Congenital cataract, Congenital cataracts, Congenital cataracts, bilateral
Proptosis	Anterior bulging of the globe, Anterior bulging of the globe of eye, Bulging eye, Exophthalmos, Eyeballs bulging out, Ocular proptosis, Prominent eyes, Prominent globes, Protruding eyes, Protrusio bulbi
